X,location,group,group_value,Life.Stage_Ls1,Life.Stage_Ls2,Life.Stage_Ls3,Life.Stage_Ls4,Gender_G1,Gender_G2,Ethnicity_E1,Ethnicity_E2,Ethnicity_E3,Ethnicity_E4,Ethnicity_E5,Social.Relationship.Typology_Al,Social.Relationship.Typology_Int,Social.Relationship.Typology_Soc,Social.Relationship.Typology_Per,Social.Interaction.Typology_E,Social.Interaction.Typology_P,Social.Interaction.Typology_F
0,Botanical Gardens,DayType,Weekday,92,25,880,340,780,557,87,24,1147,68,11,461,301,331,244,875,452,10
1,Botanical Gardens,DayType,Weekend,42,12,335,100,283,206,65,14,353,56,1,67,104,164,154,420,67,2
2,Botanical Gardens,Hour,12,28,5,287,125,260,185,18,5,402,16,4,172,106,103,64,271,168,6
3,Botanical Gardens,Hour,13,37,17,385,124,334,229,31,13,479,35,5,172,110,175,106,391,170,2
4,Botanical Gardens,Hour,14,27,8,235,101,222,149,48,3,283,35,2,80,89,96,106,290,79,2
5,Botanical Gardens,Hour,15,18,5,123,25,99,72,19,9,131,12,0,26,39,63,43,145,26,0
6,Botanical Gardens,Hour,11,4,0,29,12,24,21,2,3,34,6,0,19,10,7,9,26,17,2
7,Botanical Gardens,Hour,16,19,2,143,52,115,101,34,5,165,11,1,59,49,43,65,157,59,0
8,Botanical Gardens,Hour,17,1,0,13,1,9,6,0,0,6,9,0,0,2,8,5,15,0,0
9,Botanical Gardens,Day,9,12,4,150,49,122,93,6,5,195,8,1,86,46,56,27,130,85,0
10,Botanical Gardens,Day,10,19,9,120,55,121,82,15,5,168,12,3,57,50,60,36,143,55,5
11,Botanical Gardens,Day,11,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
12,Botanical Gardens,Day,19,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
13,Botanical Gardens,Day,21,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
14,Botanical Gardens,Day,30,12,0,129,35,106,70,10,5,148,10,3,65,41,38,32,111,63,2
15,Botanical Gardens,Day,29,19,6,116,61,124,78,30,2,154,14,2,42,55,49,56,160,42,0
16,Botanical Gardens,Day,23,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
17,Botanical Gardens,Day,17,11,0,94,34,70,69,14,4,111,10,0,46,32,34,27,93,46,0
18,Botanical Gardens,Month,10,31,13,270,104,243,175,21,10,363,20,4,143,96,116,63,273,140,5
19,Botanical Gardens,Month,11,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
20,Botanical Gardens,Month,12,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
21,Botanical Gardens,Month,3,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
22,Botanical Gardens,Month,4,12,0,129,35,106,70,10,5,148,10,3,65,41,38,32,111,63,2
23,Botanical Gardens,Month,5,19,6,116,61,124,78,30,2,154,14,2,42,55,49,56,160,42,0
24,Botanical Gardens,Month,6,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
25,Botanical Gardens,Month,7,11,0,94,34,70,69,14,4,111,10,0,46,32,34,27,93,46,0
26,Botanical Gardens,Weekday,0,12,4,150,49,122,93,6,5,195,8,1,86,46,56,27,130,85,0
27,Botanical Gardens,Weekday,1,42,11,423,140,370,246,36,12,530,30,8,213,135,159,109,401,206,9
28,Botanical Gardens,Weekday,5,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
29,Botanical Gardens,Weekday,3,8,4,97,56,94,71,1,1,157,6,0,74,33,33,25,91,73,1
30,Botanical Gardens,Weekday,2,30,6,210,95,194,147,44,6,265,24,2,88,87,83,83,253,88,0
31,Botanical Gardens,Weekday,6,23,3,168,39,140,93,34,10,169,19,1,35,54,72,72,198,35,0
32,Botanical Gardens,Season,Autumn,50,22,437,165,386,288,52,14,547,57,4,175,146,208,145,495,172,7
33,Botanical Gardens,Season,Winter,11,2,174,50,143,94,11,2,214,8,2,91,44,61,41,147,88,2
34,Botanical Gardens,Season,Spring,39,10,342,152,324,219,41,8,459,30,5,181,129,120,113,362,178,3
35,Botanical Gardens,Season,Summer,34,3,262,73,210,162,48,14,280,29,1,81,86,106,99,291,81,0
36,Division Street,DayType,Weekday,133,58,1825,357,1125,1248,319,177,1488,360,29,649,354,926,444,1692,635,46
37,Division Street,DayType,Weekend,21,7,281,52,171,190,45,36,224,52,4,45,75,173,68,312,45,4
38,Division Street,Hour,17,2,2,114,11,61,68,23,9,82,13,2,53,22,50,4,71,55,3
39,Division Street,Hour,18,1,2,61,9,29,44,9,4,54,6,0,19,19,32,3,43,20,10
40,Division Street,Hour,19,0,0,6,0,2,4,2,0,4,0,0,0,1,5,0,6,0,0
41,Division Street,Hour,11,6,1,74,27,57,51,16,12,60,19,1,31,15,42,20,77,31,0
42,Division Street,Hour,12,23,10,230,49,162,150,29,39,201,38,5,77,47,116,72,225,75,12
43,Division Street,Hour,13,39,10,331,102,213,269,56,24,329,69,4,132,71,160,119,350,128,4
44,Division Street,Hour,14,35,23,566,107,364,367,115,53,429,125,9,167,127,297,140,563,159,9
45,Division Street,Hour,15,39,14,610,83,341,405,102,58,468,108,10,177,102,345,122,560,174,12
46,Division Street,Hour,16,9,3,114,21,67,80,12,14,85,34,2,38,25,52,32,109,38,0
47,Division Street,Day,16,3,4,99,11,49,68,20,6,79,12,0,29,26,55,7,74,30,13
48,Division Street,Day,17,7,5,270,67,175,174,44,21,218,62,4,97,48,168,36,248,97,4
49,Division Street,Day,25,8,9,115,14,67,79,27,3,84,26,6,35,26,66,19,112,31,3
50,Division Street,Day,23,11,3,221,47,144,138,45,31,162,42,2,82,47,104,49,195,82,5
51,Division Street,Day,26,1,0,113,10,59,65,17,8,80,17,2,54,20,48,2,68,56,0
52,Division Street,Day,29,32,17,288,47,173,211,51,17,255,57,4,81,40,149,114,297,78,9
53,Division Street,Day,4,37,8,242,36,160,163,52,29,184,53,5,84,36,102,101,236,77,10
54,Division Street,Day,13,9,3,238,60,133,177,25,32,208,44,1,91,60,125,34,219,91,0
55,Division Street,Day,11,17,7,226,46,141,155,29,33,182,48,4,34,62,141,59,261,34,1
56,Division Street,Day,20,5,4,179,38,108,118,30,18,144,31,3,60,40,98,28,166,59,1
57,Division Street,Day,30,24,5,115,33,87,90,24,15,116,20,2,47,24,43,63,128,45,4
58,Division Street,Month,8,14,14,277,48,156,197,54,14,227,50,8,90,61,169,33,248,87,18
59,Division Street,Month,9,5,0,168,16,89,100,33,11,122,21,2,65,33,80,11,119,67,3
60,Division Street,Month,11,4,4,207,44,135,124,37,16,154,50,2,71,39,120,29,186,71,2
61,Division Street,Month,12,32,17,288,47,173,211,51,17,255,57,4,81,40,149,114,297,78,9
62,Division Street,Month,1,37,8,242,36,160,163,52,29,184,53,5,84,36,102,101,236,77,10
63,Division Street,Month,3,9,3,238,60,133,177,25,32,208,44,1,91,60,125,34,219,91,0
64,Division Street,Month,4,7,3,166,41,114,103,29,28,120,38,2,71,34,72,40,144,71,2
65,Division Street,Month,5,17,7,226,46,141,155,29,33,182,48,4,34,62,141,59,261,34,1
66,Division Street,Month,6,5,4,179,38,108,118,30,18,144,31,3,60,40,98,28,166,59,1
67,Division Street,Month,7,24,5,115,33,87,90,24,15,116,20,2,47,24,43,63,128,45,4
68,Division Street,Weekday,2,12,7,337,71,182,245,45,38,287,56,1,120,86,180,41,293,121,13
69,Division Street,Weekday,3,45,13,484,97,308,331,89,52,392,96,10,170,85,248,136,464,162,13
70,Division Street,Weekday,4,44,30,610,105,375,414,115,36,493,133,12,187,105,335,162,595,180,14
71,Division Street,Weekday,5,21,7,281,52,171,190,45,36,224,52,4,45,75,173,68,312,45,4
72,Division Street,Weekday,1,32,8,394,84,260,258,70,51,316,75,6,172,78,163,105,340,172,6
73,Division Street,Season,Summer,43,23,571,119,351,405,108,47,487,101,13,197,125,310,124,542,191,23
74,Division Street,Season,Autumn,9,4,375,60,224,224,70,27,276,71,4,136,72,200,40,305,138,5
75,Division Street,Season,Winter,69,25,530,83,333,374,103,46,439,110,9,165,76,251,215,533,155,19
76,Division Street,Season,Spring,33,13,630,147,388,435,83,93,510,130,7,196,156,338,133,624,196,3
77,Ecclesall Road,DayType,Weekday,130,44,1506,414,1109,985,216,134,1606,106,32,681,357,695,361,1358,676,60
78,Ecclesall Road,DayType,Weekend,37,19,373,92,258,263,44,17,433,24,3,101,123,154,143,419,102,0
79,Ecclesall Road,Hour,12,19,10,320,81,202,228,41,36,326,21,6,142,63,154,71,275,141,14
80,Ecclesall Road,Hour,13,41,6,462,162,375,296,41,31,569,24,6,181,151,207,132,470,179,22
81,Ecclesall Road,Hour,14,23,15,477,137,350,302,71,37,506,31,7,183,133,214,122,462,184,6
82,Ecclesall Road,Hour,15,45,12,297,52,215,191,52,23,295,31,5,99,73,136,98,300,99,7
83,Ecclesall Road,Hour,16,33,19,230,57,165,174,38,19,256,17,9,134,36,98,71,199,132,8
84,Ecclesall Road,Hour,17,6,1,92,16,59,56,17,5,85,6,2,41,24,40,10,71,41,3
85,Ecclesall Road,Hour,11,0,0,1,1,1,1,0,0,2,0,0,2,0,0,0,0,2,0
86,Ecclesall Road,Day,22,14,7,170,31,127,95,22,13,170,8,9,74,37,68,43,135,73,14
87,Ecclesall Road,Day,23,19,17,338,80,231,223,55,25,347,17,10,133,101,151,69,311,131,12
88,Ecclesall Road,Day,9,11,12,81,24,62,66,14,6,99,6,3,60,10,33,25,64,60,4
89,Ecclesall Road,Day,17,34,10,416,128,291,297,49,29,475,33,2,155,130,180,123,426,156,6
90,Ecclesall Road,Day,24,33,5,201,47,161,125,30,23,213,18,2,79,48,85,74,205,79,2
91,Ecclesall Road,Day,18,28,4,233,61,165,161,39,12,251,21,3,101,51,107,67,218,99,9
92,Ecclesall Road,Day,11,20,4,207,72,157,146,24,16,245,13,5,80,35,123,65,219,80,4
93,Ecclesall Road,Day,13,8,4,233,63,173,135,27,27,239,14,1,100,68,102,38,199,100,9
94,Ecclesall Road,Month,8,22,14,364,67,245,222,60,30,337,22,18,167,85,161,54,277,164,26
95,Ecclesall Road,Month,10,11,12,81,24,62,66,14,6,99,6,3,60,10,33,25,64,60,4
96,Ecclesall Road,Month,11,33,5,201,48,161,126,30,23,214,18,2,80,48,85,74,205,80,2
97,Ecclesall Road,Month,12,28,4,233,61,165,161,39,12,251,21,3,101,51,107,67,218,99,9
98,Ecclesall Road,Month,3,26,9,229,48,145,167,27,9,253,21,2,61,70,96,85,250,62,0
99,Ecclesall Road,Month,4,20,4,207,72,157,146,24,16,245,13,5,80,35,123,65,219,80,4
100,Ecclesall Road,Month,5,8,4,233,63,173,135,27,27,239,14,1,100,68,102,38,199,100,9
101,Ecclesall Road,Month,6,11,10,144,44,113,96,17,8,180,3,1,40,53,58,58,169,40,0
102,Ecclesall Road,Month,7,8,1,187,79,146,129,22,20,221,12,0,93,60,84,38,176,93,6
103,Ecclesall Road,Weekday,1,14,7,170,31,127,95,22,13,170,8,9,74,37,68,43,135,73,14
104,Ecclesall Road,Weekday,2,16,8,381,115,264,256,60,37,388,26,9,186,108,177,49,318,184,18
105,Ecclesall Road,Weekday,0,47,20,547,148,400,362,80,45,589,41,7,261,129,242,130,481,259,22
106,Ecclesall Road,Weekday,4,33,5,201,48,161,126,30,23,214,18,2,80,48,85,74,205,80,2
107,Ecclesall Road,Weekday,6,37,19,373,92,258,263,44,17,433,24,3,101,123,154,143,419,102,0
108,Ecclesall Road,Weekday,3,20,4,207,72,157,146,24,16,245,13,5,80,35,123,65,219,80,4
109,Ecclesall Road,Season,Summer,41,25,695,190,504,447,99,58,738,37,19,300,198,303,150,622,297,32
110,Ecclesall Road,Season,Autumn,44,17,282,72,223,192,44,29,313,24,5,140,58,118,99,269,140,6
111,Ecclesall Road,Season,Winter,28,4,233,61,165,161,39,12,251,21,3,101,51,107,67,218,99,9
112,Ecclesall Road,Season,Spring,54,17,669,183,475,448,78,52,737,48,8,241,173,321,188,668,242,13
113,Peace Gardens,DayType,Weekday,110,85,960,268,679,744,274,98,933,102,16,486,225,403,309,932,481,10
114,Peace Gardens,Hour,11,26,10,129,67,121,111,41,15,152,23,1,89,38,31,74,141,87,4
115,Peace Gardens,Hour,12,41,32,330,105,233,275,68,35,362,36,7,164,77,160,107,343,164,1
116,Peace Gardens,Hour,15,14,19,133,22,95,93,52,13,110,10,3,45,26,68,49,141,45,2
117,Peace Gardens,Hour,16,5,3,44,8,25,35,13,4,34,8,1,24,18,8,10,36,24,0
118,Peace Gardens,Hour,13,6,7,180,43,104,132,48,13,168,6,1,103,36,77,20,133,102,1
119,Peace Gardens,Hour,14,18,14,144,23,101,98,52,18,107,19,3,61,30,59,49,138,59,2
120,Peace Gardens,Day,16,14,9,46,28,43,54,13,10,65,6,3,20,30,14,33,77,20,0
121,Peace Gardens,Day,25,5,2,86,12,49,56,20,7,64,10,4,31,24,39,11,74,31,0
122,Peace Gardens,Day,26,2,2,75,12,46,45,19,10,57,5,0,33,14,37,7,60,31,0
123,Peace Gardens,Day,9,4,6,64,17,50,41,13,4,65,7,2,26,8,46,11,63,26,2
124,Peace Gardens,Day,10,5,0,70,11,47,39,23,5,50,7,1,35,20,21,10,51,33,2
125,Peace Gardens,Day,28,1,2,64,18,38,47,25,4,50,6,0,32,16,28,9,53,32,0
126,Peace Gardens,Day,29,16,12,108,31,60,107,30,9,114,12,2,59,18,50,40,108,59,0
127,Peace Gardens,Day,18,22,13,205,67,145,162,49,26,200,30,2,138,47,66,56,166,137,4
128,Peace Gardens,Day,30,26,30,123,24,100,103,54,18,118,11,2,50,22,52,79,151,50,2
129,Peace Gardens,Day,20,15,9,119,48,101,90,28,5,150,8,0,62,26,50,53,129,62,0
130,Peace Gardens,Month,8,14,9,46,28,43,54,13,10,65,6,3,20,30,14,33,77,20,0
131,Peace Gardens,Month,9,7,4,161,24,95,101,39,17,121,15,4,64,38,76,18,134,62,0
132,Peace Gardens,Month,11,9,6,134,28,97,80,36,9,115,14,3,61,28,67,21,114,59,4
133,Peace Gardens,Month,2,17,14,172,49,98,154,55,13,164,18,2,91,34,78,49,161,91,0
134,Peace Gardens,Month,3,13,6,102,36,88,69,29,8,97,21,2,65,30,27,35,90,64,3
135,Peace Gardens,Month,4,9,7,103,31,57,93,20,18,103,9,0,73,17,39,21,76,73,1
136,Peace Gardens,Month,5,26,30,123,24,100,103,54,18,118,11,2,50,22,52,79,151,50,2
137,Peace Gardens,Month,6,15,9,119,48,101,90,28,5,150,8,0,62,26,50,53,129,62,0
138,Peace Gardens,Weekday,2,15,11,110,46,81,101,38,14,115,12,3,52,46,42,42,130,52,0
139,Peace Gardens,Weekday,0,18,8,188,48,137,125,49,15,161,31,6,96,54,66,46,164,95,3
140,Peace Gardens,Weekday,1,2,2,75,12,46,45,19,10,57,5,0,33,14,37,7,60,31,0
141,Peace Gardens,Weekday,3,70,64,517,151,368,434,145,54,550,47,6,270,91,237,204,527,270,5
142,Peace Gardens,Weekday,4,5,0,70,11,47,39,23,5,50,7,1,35,20,21,10,51,33,2
143,Peace Gardens,Season,Summer,29,18,165,76,144,144,41,15,215,14,3,82,56,64,86,206,82,0
144,Peace Gardens,Season,Autumn,16,10,295,52,192,181,75,26,236,29,7,125,66,143,39,248,121,4
145,Peace Gardens,Season,Winter,17,14,172,49,98,154,55,13,164,18,2,91,34,78,49,161,91,0
146,Peace Gardens,Season,Spring,48,43,328,91,245,265,103,44,318,41,4,188,69,118,135,317,187,6
147,Western Bank Park,DayType,Weekend,71,18,374,61,282,242,70,34,351,58,11,70,105,144,205,453,68,3
148,Western Bank Park,DayType,Weekday,41,10,646,89,443,343,101,37,517,125,6,266,125,288,107,520,266,0
149,Western Bank Park,Hour,12,2,0,29,6,21,16,3,1,28,4,1,11,10,12,4,26,11,0
150,Western Bank Park,Hour,13,38,8,252,34,187,145,51,23,206,47,5,76,63,96,97,257,75,0
151,Western Bank Park,Hour,14,35,15,399,71,286,234,62,20,356,77,5,119,92,187,122,399,118,3
152,Western Bank Park,Hour,15,22,5,260,29,174,142,39,23,206,43,5,97,51,108,60,219,97,0
153,Western Bank Park,Hour,10,5,0,13,0,12,6,2,1,15,0,0,2,2,5,9,16,2,0
154,Western Bank Park,Hour,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
155,Western Bank Park,Hour,16,9,0,67,10,44,42,14,3,56,12,1,31,12,24,19,55,31,0
156,Western Bank Park,Day,23,15,4,75,12,59,47,16,8,63,16,3,20,33,29,24,87,19,0
157,Western Bank Park,Day,6,6,2,95,15,64,54,13,8,67,26,4,54,16,35,13,64,54,0
158,Western Bank Park,Day,3,3,2,103,19,68,59,18,6,79,24,0,47,24,40,16,80,47,0
159,Western Bank Park,Day,5,31,9,126,17,93,90,19,12,137,9,6,26,28,42,87,155,25,3
160,Western Bank Park,Day,18,8,3,146,20,98,79,19,5,122,31,0,68,24,62,23,109,68,0
161,Western Bank Park,Day,20,25,5,174,32,131,105,35,14,151,34,2,25,44,73,94,211,25,0
162,Western Bank Park,Day,10,6,0,189,16,130,81,26,11,146,27,1,50,41,104,16,161,50,0
163,Western Bank Park,Day,30,18,3,112,19,82,70,25,7,103,16,1,46,20,47,39,106,46,0
164,Western Bank Park,Month,9,15,4,74,12,58,47,16,8,63,15,3,19,33,29,24,87,18,0
165,Western Bank Park,Month,10,6,2,95,15,64,54,13,8,67,26,4,54,16,35,13,64,54,0
166,Western Bank Park,Month,11,34,11,229,36,161,149,37,18,216,33,6,73,52,82,103,235,72,3
167,Western Bank Park,Month,3,8,3,146,20,98,79,19,5,122,31,0,68,24,62,23,109,68,0
168,Western Bank Park,Month,4,25,5,175,32,132,105,35,14,151,35,2,26,44,73,94,211,26,0
169,Western Bank Park,Month,5,6,0,189,16,130,81,26,11,146,27,1,50,41,104,16,161,50,0
170,Western Bank Park,Month,7,18,3,112,19,82,70,25,7,103,16,1,46,20,47,39,106,46,0
171,Western Bank Park,Weekday,5,40,9,248,44,189,152,51,22,214,49,5,44,77,102,118,298,43,0
172,Western Bank Park,Weekday,4,15,4,387,50,262,194,57,25,292,77,5,151,81,179,45,305,151,0
173,Western Bank Park,Weekday,6,31,9,126,17,93,90,19,12,137,9,6,26,28,42,87,155,25,3
174,Western Bank Park,Weekday,0,8,3,146,20,98,79,19,5,122,31,0,68,24,62,23,109,68,0
175,Western Bank Park,Weekday,1,18,3,113,19,83,70,25,7,103,17,1,47,20,47,39,106,47,0
176,Western Bank Park,Season,Autumn,55,17,398,63,283,250,66,34,346,74,13,146,101,146,140,386,144,3
177,Western Bank Park,Season,Spring,39,8,510,68,360,265,80,30,419,93,3,144,109,239,133,481,144,0
